시간,TID,차량번호,차량군,주행거리(km),속도(km/h),배터리전압(V),배터리SOC(%),배터리온도(°C),배터리출력전류(A),시동상태,주차브레이크,위도,경도,GPS속도(km/h),모터온도(°C),냉각수온도(°C),인버터온도(°C),화물칸문,목표온도(°C),현재온도(°C),압축기레벨,팬듀티,제상모드,냉동모드,팩SOC(%),팩SOH(%),팩전압(V),팩방전전류(A),팩충전전류(A),셀최대전압(V),셀최소전압(V),셀최대온도(°C),셀최소온도(°C),절연저항(Ω),충전기연결상태
2025-05-06 15:16:18,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.8,,,,OFF,ON,37.330289,126.955003,2.2,2.5,999.9,2.1,000000,-20,7.5,0,0,OFF,OFF,68,0,344.6,1,0,0,0,0,0,0,
2025-05-06 15:16:19,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.8,,,,OFF,ON,37.330289,126.955003,2.2,2.5,999.9,2.1,000000,-20,7.5,0,0,OFF,OFF,68,0,344.6,1,0,0,0,0,0,0,
2025-05-06 15:16:20,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.8,,,,OFF,ON,37.330289,126.955003,2.2,2.5,999.9,2.1,000000,-20,12.3,0,0,OFF,OFF,68,0,344.6,1,0,0,0,0,0,0,
2025-05-06 15:16:21,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.8,,,,OFF,ON,37.330289,126.955003,2.2,2.5,999.9,2.1,000000,-20,12.3,0,0,OFF,OFF,68,0,344.7,0,0,0,0,0,0,0,
2025-05-06 15:46:19,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.8,,,,OFF,ON,37.330308,126.954436,0,2.5,999.9,2.1,000000,-20,12.3,0,0,OFF,OFF,68,0,344.7,0,0,0,0,0,0,0,
2025-05-06 15:46:20,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.8,,,,OFF,ON,37.330308,126.954436,0,2.5,999.9,2.1,000000,-20,12.3,0,0,OFF,OFF,68,0,344.7,0,0,0,0,0,0,0,
2025-05-06 15:46:21,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.8,,,,OFF,ON,37.330308,126.954436,0,2.5,999.9,2.1,000000,-20,13.4,0,0,OFF,OFF,68,0,344.7,0,0,0,0,0,0,0,
2025-05-06 15:46:22,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.8,,,,OFF,ON,37.330308,126.954436,0,2.5,999.9,2.1,000000,-20,13.4,0,0,OFF,OFF,68,0,344.7,0,0,0,0,0,0,0,
2025-05-06 16:16:20,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.7,,,,OFF,ON,37.330321,126.954551,0,2.5,999.9,2.1,000000,-20,13.4,0,0,OFF,OFF,68,0,344.7,0,0,0,0,0,0,0,
2025-05-06 16:16:21,HJLGC0059RD504141,전북91사4698,컬리/H,0,0,12.7,,,,OFF,ON,37.330321,126.954551,0,2.5,999.9,2.1,000000,-20,13.4,0,0,OFF,OFF,68,0,344.7,0,0,0,0,0,0,0,
